Planchas: 1 planchas utilizadas
Desperdicio: 0%, Area 0 metros cuadrados
Cortes: algoritmo de empaquetamiento
Plancha 1
A1 0 80 N
B1 1 39 N
C1 61 73 N
D1 88 59 N
E1 99 89 N
F1 99 65 N
G1 99 18 N
H1 99 16 N
I1 99 6 N
J1 99 1 N
K1 99 0 N
L1 88 38 N
M1 90 44 N
N1 91 45 N
O1 93 26 N
P1 95 33 N
Q1 97 33 N
E2 98 48 N
R1 98 18 N
M2 98 3 N
H2 98 1 N
K2 98 0 N
H3 97 31 N
S1 97 18 N
T1 97 2 N
K3 97 1 N
K4 97 0 N
U1 95 30 N
V1 96 12 N
W1 96 8 N
W2 96 4 N
H4 96 2 N
K5 96 1 N
K6 96 0 N
X1 95 13 N
H5 95 11 N
Y1 95 5 N
U2 95 2 N
K7 95 1 N
K8 95 0 N
X2 93 9 N
Z1 94 19 N
AA1 94 10 N
Z2 94 3 N
H6 94 1 N
K9 94 0 N
Z3 93 2 N
K10 93 1 N
K11 93 0 N
AB1 91 27 N
AC1 92 8 N
W3 92 4 N
U3 92 1 N
K12 92 0 N
AD1 91 19 N
I2 91 9 N
W4 91 5 N
H7 91 3 N
H8 91 1 N
K13 91 0 N
Y2 90 38 N
AE1 90 11 N
K14 90 10 N
Z4 90 3 N
H9 90 1 N
K15 90 0 N
V2 88 17 N
AC2 89 1 N
K16 89 0 N
AD2 88 9 N
W5 88 5 N
H10 88 3 N
K17 88 2 N
K18 88 1 N
K19 88 0 N
AF1 61 45 N
AG1 84 3 N
Y3 86 67 N
H11 87 71 N
E3 87 60 N
AH1 87 16 N
AA2 87 7 N
U4 87 4 N
K20 87 3 N
H12 87 1 N
K21 87 0 N
AI1 86 33 N
T2 86 17 N
AJ1 86 5 N
H13 86 3 N
K22 86 2 N
K23 86 1 N
K24 86 0 N
H14 84 1 N
H15 85 1 N
K25 85 0 N
K26 84 0 N
AK1 61 32 N
AL1 73 16 N
AM1 76 35 N
AN1 79 7 N
AO1 80 13 N
AA3 82 36 N
M3 83 30 N
H16 83 28 N
U5 83 25 N
AA4 83 16 N
E4 83 5 N
K27 83 4 N
K28 83 3 N
K29 83 2 N
K30 83 1 N
K31 83 0 N
AP1 82 4 N
U6 82 1 N
K32 82 0 N
E5 80 2 N
H17 81 11 N
AD3 81 3 N
H18 81 1 N
K33 81 0 N
K34 80 1 N
K35 80 0 N
U7 79 4 N
U8 79 1 N
K36 79 0 N
AQ1 76 28 N
Y4 78 29 N
AR1 78 15 N
AR2 78 1 N
K37 78 0 N
AS1 76 9 N
Q2 77 2 N
K38 77 1 N
K39 77 0 N
J2 76 4 N
U9 76 1 N
K40 76 0 N
U10 73 13 N
W6 74 12 N
AA5 75 7 N
H19 75 5 N
U11 75 2 N
K41 75 1 N
K42 75 0 N
Z5 74 5 N
K43 74 4 N
U12 74 1 N
K44 74 0 N
AD4 73 5 N
W7 73 1 N
K45 73 0 N
AT1 61 19 N
AU1 63 28 N
AV1 68 23 N
AB2 72 14 N
H20 72 12 N
AD5 72 4 N
K46 72 3 N
K47 72 2 N
K48 72 1 N
K49 72 0 N
K50 68 22 N
U13 69 20 N
K51 70 22 N
K52 71 22 N
I3 71 12 N
AA6 71 3 N
K53 71 2 N
K54 71 1 N
K55 71 0 N
T3 70 6 N
J3 70 1 N
K56 70 0 N
AB3 69 2 N
K57 69 1 N
K58 69 0 N
U14 68 19 N
M4 68 4 N
K59 68 3 N
K60 68 2 N
K61 68 1 N
